Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
01/01/2020,,,,,61.33,,,,-3.4296496350364976,-3.4296496350364976
01/02/2020,1.68,1.63,1.64,1.7,61.18,0.5522445820433435,0.33394736842105255,-0.004938080495355823,-3.579649635036496,-3.579649635036496
01/03/2020,1.63,1.57,1.55,1.61,63.05,0.49224458204334365,0.2439473684210527,-0.09493808049535568,-1.7096496350364987,-1.7096496350364987
01/03/2022,,,,,76.08,,,,11.320350364963502,11.320350364963502
01/04/2021,0.19,0.33,0.58,1.11,47.62,-0.7477554179566563,-0.7260526315789474,-0.5949380804953557,-17.1396496350365,-17.1396496350365
01/04/2022,0.98,1.31,1.52,1.82,76.99,0.23224458204334364,0.21394736842105266,0.11506191950464428,12.230350364963499,12.230350364963499
01/05/2021,0.19,0.33,0.6,1.16,49.93,-0.7477554179566563,-0.7060526315789474,-0.5449380804953559,-14.829649635036496,-14.829649635036496
01/05/2022,1.01,1.35,1.56,1.84,77.85,0.2722445820433437,0.2539473684210527,0.1350619195046443,13.090350364963498,13.090350364963498
01/06/2020,1.65,1.6,1.59,1.67,63.27,0.5222445820433437,0.2839473684210527,-0.03493808049535585,-1.4896496350364927,-1.4896496350364927
01/06/2021,0.18,0.34,0.63,1.23,50.63,-0.7377554179566563,-0.6760526315789473,-0.4749380804953558,-14.129649635036493,-14.129649635036493
01/06/2022,1.04,1.41,1.64,1.92,79.46,0.3322445820433435,0.33394736842105255,0.21506191950464415,14.700350364963498,14.700350364963498
01/07/2020,1.66,1.6,1.59,1.68,62.7,0.5222445820433437,0.2839473684210527,-0.02493808049535584,-2.059649635036493,-2.059649635036493
01/07/2021,0.18,0.36,0.67,1.27,50.83,-0.7177554179566564,-0.6360526315789473,-0.43493808049535576,-13.929649635036498,-13.929649635036498
01/07/2022,1.04,1.42,1.65,1.96,78.9,0.3422445820433435,0.34394736842105256,0.2550619195046442,14.14035036496351,14.14035036496351
01/08/2020,1.68,1.63,1.63,1.72,59.61,0.5522445820433435,0.32394736842105254,0.015061919504644194,-5.149649635036496,-5.149649635036496
01/08/2021,0.18,0.37,0.68,1.3,52.24,-0.7077554179566564,-0.6260526315789473,-0.40493808049535573,-12.519649635036494,-12.519649635036494
01/09/2020,1.67,1.61,1.61,1.7,59.56,0.5322445820433437,0.30394736842105274,-0.004938080495355823,-5.199649635036494,-5.199649635036494
01/10/2020,1.69,1.62,1.6,1.68,59.04,0.5422445820433437,0.29394736842105273,-0.02493808049535584,-5.719649635036497,-5.719649635036497
01/10/2022,1.06,1.42,1.65,1.95,78.23,0.3422445820433435,0.34394736842105256,0.24506191950464418,13.470350364963508,13.470350364963508
01/11/2021,0.18,0.38,0.71,1.32,52.25,-0.6977554179566564,-0.5960526315789474,-0.3849380804953557,-12.509649635036496,-12.509649635036496
01/11/2022,1.05,1.41,1.64,1.94,81.22,0.3322445820433435,0.33394736842105255,0.23506191950464417,16.460350364963503,16.460350364963503
01/12/2021,0.17,0.38,0.72,1.34,53.21,-0.6977554179566564,-0.5860526315789474,-0.3649380804953557,-11.549649635036495,-11.549649635036495
01/12/2022,1.09,1.44,1.66,1.97,82.64,0.36224458204334353,0.35394736842105257,0.2650619195046442,17.880350364963505,17.880350364963505
01/13/2020,1.69,1.63,1.62,1.69,58.08,0.5522445820433435,0.31394736842105275,-0.014938080495355832,-6.679649635036498,-6.679649635036498
01/13/2021,0.16,0.36,0.69,1.31,52.91,-0.7177554179566564,-0.6160526315789474,-0.3949380804953557,-11.8496496350365,-11.8496496350365
01/13/2022,1.09,1.43,1.63,1.94,82.12,0.3522445820433435,0.32394736842105254,0.23506191950464417,17.36035036496351,17.36035036496351
01/14/2020,1.69,1.61,1.6,1.68,58.23,0.5322445820433437,0.29394736842105273,-0.02493808049535584,-6.529649635036499,-6.529649635036499
01/14/2021,0.16,0.37,0.72,1.35,53.57,-0.7077554179566564,-0.5860526315789474,-0.3549380804953557,-11.189649635036496,-11.189649635036496
01/14/2022,1.13,1.48,1.69,2.0,83.82,0.40224458204334357,0.3839473684210526,0.2950619195046442,19.060350364963497,19.060350364963497
01/15/2020,1.66,1.57,1.54,1.64,57.81,0.49224458204334365,0.23394736842105268,-0.06493808049535588,-6.949649635036494,-6.949649635036494
01/15/2021,0.15,0.35,0.68,1.3,52.36,-0.7277554179566564,-0.6260526315789473,-0.40493808049535573,-12.399649635036496,-12.399649635036496
01/16/2020,1.67,1.59,1.57,1.66,58.52,0.5122445820433437,0.2639473684210527,-0.04493808049535586,-6.239649635036493,-6.239649635036493
01/16/2022,,,,,83.83,,,,19.070350364963502,19.070350364963502
01/17/2020,1.67,1.6,1.58,1.66,58.54,0.5222445820433437,0.2739473684210527,-0.04493808049535586,-6.219649635036497,-6.219649635036497
